item_key,bin,centrality,reason_code,rationale,title
SWUDMFQ4,context,46,,"Empirical developer survey and tool tests mention supervised AI coding workflows, but the oversight treatment is broad and not focused on scalable governance mechanisms.",An insight into the impact of generative artificial intelligence tools on software development practices
BPL78SWJ,context,36,,"Thin abstract, but a deterministic compliance-auditing framework for AI governance is transferable to oversight measurement even though it is not code-specific.",Deterministic bias detection for NYC local law 144: why reproducibility matters more than accuracy a technical framework for compliance-grade AI auditing
9D9QSWGZ,core,94,,Directly studies human and agent review patterns for AI-generated pull requests and implications for measuring human oversight at scale.,These aren't the reviews you're looking for how humans review AI-generated pull requests
8L2G3J4Q,context,57,,"Provides an empirical LLM-assisted vulnerability triage mechanism that can transfer to scalable code oversight, though it is not specifically about AI-generated code governance.",♪ with a little help from my (LLM) friends: enhancing static analysis with LLMs to detect software vulnerabilities
P868GNU7,core,84,,Empirically analyzes agentic coding pull requests and quantifies where human revisions remain necessary before merge.,On the use of agentic coding: an empirical study of pull requests on GitHub
M964K4XX,context,42,,"Thin abstract, but comparison of AI governance and assurance frameworks is relevant background for organizational oversight policy.","Comparative analysis of AI governance, assurance, and administrative oversight NIST AI RMF 1.0, ISO/IEC 42001, SOC 2, OMB memoranda M-24-10 and M-25-21, and U.S. copyright office guidance"
TNLQ857W,core,76,,Proposes and evaluates an operational authorization framework for agentic code and infrastructure workflows with least-privilege governance implications.,Toward agentic IAM: a probabilistic authorization framework for least privilege AI workflows
XQ2858YZ,discard,24,wrong-level,General procurement transparency for machine-learning systems is too broad and thinly specified for AI-code oversight triage.,Algorithmic transparency and decision-making accountability: thoughts for buying machine learning algorithms
VZ9H37V5,core,89,,"Directly reports production vibe-coding practices, constraint specification, verification, and non-delegation zones for generated code.",Context before code: an experience report on vibe coding in practice
WBS9U5N7,core,78,,"Despite a thin abstract, it directly addresses specification gaming in LLM-generated code and adversarial execution as an oversight mechanism.",Cognitive camouflage: specification gaming in LLM-generated code evades holistic evaluation but not adversarial execution
4VXJUF5I,context,55,,Broad enterprise GenAI operationalization with human-in-the-loop and governance structures is transferable but only partly software-development specific.,From tokens to tactics: operationalizing generative AI in enterprise workflows
VYRHTLLM,context,61,,Empirical work on human overreliance and algorithmic conformity is strongly transferable to developer oversight of AI-generated code.,Turning off your better judgment -algorithmic conformity in AI-human collaboration
C4DWC33F,core,72,,"Models developer trust in GenAI tools using organizational survey data, informing overreliance and adoption risks in AI coding workflows.",What guides our choices? Modeling developers' trust and behavioral intentions towards genai
GD3RMX4R,context,67,,"Offers concrete oversight design principles and error characterization for LLM-assisted model generation, transferable to resilient code-generation workflows.",On integrating resilience and human oversight into LLM-assisted modeling workflows for digital twins
YBHHYR4P,core,86,,"Directly measures security degradation and misplaced confidence among users of AI code assistants, central to oversight and overtrust risks.",Do users write more insecure code with AI assistants?
ETHYCZEC,core,79,,Empirically compares AI-authored and human-authored pull requests with diagnostics for rejection and maintainability impacts.,Different by design: understanding human-AI collaboration through GitHub pull requests
VFZXPDJX,context,52,,"Presents an operational human-machine inspection method for guiding programmers to risky code, transferable to oversight triage even without AI-generated code.",Enhancing human-machine pair inspection with risk number and code inspection diagram
6SILTI7B,context,38,,"Thin abstract suggests a practitioner governance playbook, but it appears broad and not clearly software-code specific.",Responsible AI: a practitioner playbook for trustworthy AI governance
7V7SRG43,context,63,,"Automates code review with multi-agent LLMs and a supervisory agent, relevant as a scalable oversight aid but not focused on governing AI-generated code volume.",CodeAgent: autonomous communicative agents for code review
UDT3AA4A,core,75,,"Survey synthesizes LLM risks in software development, including overreliance, DevSecOps, governance, and hybrid human-AI collaboration.",A survey on the role of LLMs in AI-based software development: augmentation and latent risks
QK577S3K,discard,22,out-of-scope,Blockchain-based AI verification and compliance is a known false-positive class with no clear AI-code oversight mechanism.,Verifiable AI: the strategic imperative for trustworthy artificial intelligence a technical and business analysis of blockchain-based AI verification
DG6LWQJU,context,56,,Eye-tracking evidence on implicit bias in code review is transferable to human oversight quality under AI-generated review workloads.,Exploring the effects of urgency and reputation in code review an eye-tracking study
GCZQTNBD,core,81,,Directly develops an LLM-as-judge agent pipeline and metrics to validate LLM-generated code artifacts.,LLM4VV: exploring LLM-as-a-judge for validation and verification testsuites
VG8PSMM7,core,88,,"Provides a layered BLEU, LLM-in-the-loop, and human-in-the-loop validation stack for scalable safety-aware AI-assisted code generation.",Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming
Y7ZWF7GT,context,48,,"Agentic AI governance architecture with access control and decision ledgers is transferable, but the abstract is white-paper-like and not software-code specific.",How regulated financial institutions will tame agentic AI through architectural determinism
GPL5G889,context,52,,"Foundational automation-level framework is transferable to human oversight design, but it is general, old, and not software-code specific.",A model for types and levels of human interaction with automation
49IHA2L9,core,84,,Directly provides an operational STRIDE/DFD threat-modeling method for organizational security oversight of AI-based coding tools.,How secure is AI-based coding?: a security analysis using STRIDE and data flow diagrams
PG2GXVY8,core,86,,"Direct empirical evidence shows reduced visual inspection of AI-generated code, linking Copilot use to automation bias and oversight risk.",How readable is model-generated code? Examining readability and visual inspection of GitHub copilot
